,index,代码,名称,成交额,总市值,换手率,首次封板时间,date,t-1 open,t-1 close,t-1 high,t-1 low,t-1 volume,t+0 open,t+0 close,t+0 high,t+0 low,t+0 volume,t+1 open,t+1 close,t+1 high,t+1 low,t+1 volume
12,12,600630,龙头股份,521983888,3649561144.0,14.461515426635742,093312,20231031,8.06,7.81,8.29,7.77,587507570.0,7.83,8.59,8.59,7.83,521983892.0,8.76,8.26,8.78,8.12,696552475.0
13,13,002725,跃岭股份,123804014,2903040000.0,5.297821998596191,093330,20231031,10.5,10.31,10.57,10.25,124482244.3,10.36,11.34,11.34,10.36,123804014.1,11.5,10.94,11.5,10.68,514234341.86
14,14,603158,腾龙股份,1050496896,4996336996.16,21.215206146240234,093344,20231031,9.33,9.25,9.7,9.25,636456671.0,9.5,10.18,10.18,9.5,1050496895.0,9.51,9.71,10.07,9.36,883346200.0
15,15,002931,锋龙股份,138568198,2842444096.92,5.468755722045898,093536,20231031,12.52,12.97,13.13,12.28,178338262.42,12.8,14.27,14.27,12.75,138568198.28,14.27,13.83,14.27,13.43,318445289.94
16,16,605116,奥锐特,232840167,10682928710.4,2.2644386291503906,093744,20231031,23.57,23.91,24.39,23.46,73021956.0,25.4,26.3,26.3,25.03,232840167.0,25.51,24.75,26.0,24.55,272275999.0
17,17,300269,联建光电,730569264,2630255216.96,30.053083419799805,093957,20231031,3.73,3.99,4.08,3.72,185744402.0,4.01,4.79,4.79,3.98,730569261.0,4.65,5.64,5.66,4.51,1073929547.0
18,18,603721,中广天择,378908096,2532400000.0,15.24240779876709,094101,20231031,16.07,17.71,17.71,16.02,176132232.0,18.03,19.48,19.48,17.98,378908098.0,19.59,19.32,21.43,18.55,528186807.0
19,19,002162,悦心健康,177876814,4206310000.0,4.3232221603393555,094645,20231031,4.25,4.13,4.25,4.08,126002275.56,4.13,4.54,4.54,4.11,177876813.66,4.5,4.47,4.52,4.39,291165181.09
20,20,600189,泉阳泉,262083678,6822987088.32,3.9124369621276855,094848,20231031,8.39,8.67,8.72,8.28,123727961.0,8.62,9.54,9.54,8.62,262083678.0,10.48,10.06,10.49,9.97,798312801.0
21,21,002977,天箭科技,483046928,4888884000.0,18.56502914428711,095330,20231031,37.3,37.0,37.85,36.5,249687886.45,36.81,40.7,40.7,36.3,483046929.8,39.24,39.4,40.23,38.8,464181516.61
22,22,001238,浙江正特,155024122,2670800000.0,20.87413787841797,095433,20231031,22.86,22.07,22.86,21.5,183908485.35,21.51,24.28,24.28,21.5,155024122.3,24.66,26.71,26.71,23.7,414442225.97
23,23,300966,共同药业,320432544,3160909543.5600004,20.64366340637207,095600,20231031,21.8,22.85,23.52,21.6,82841208.0,23.09,27.42,27.42,22.9,320432538.0,26.54,26.33,27.31,25.5,462505146.0
24,24,002596,海南瑞泽,227381206,3396838315.52,7.465248107910156,100209,20231031,2.68,2.69,2.72,2.67,31014577.0,2.69,2.96,2.96,2.68,227381206.39,2.87,2.88,2.93,2.81,207290513.11
25,25,600133,东湖高新,1089518272,8022383204.639999,13.81743335723877,100335,20231031,7.71,7.83,7.95,7.63,430134371.0,7.77,8.61,8.61,7.73,1089518270.0,8.45,8.37,8.87,8.33,1045372658.0
26,26,603238,诺邦股份,82776380,2616482660.0,3.2455475330352783,101146,20231031,13.28,13.4,13.48,13.2,34573780.0,13.38,14.74,14.74,13.38,82776380.0,15.54,14.59,15.58,14.05,206334620.0
27,27,605318,法狮龙,255701791,2424542523.04,10.751084327697754,105401,20231031,16.2,17.06,17.66,16.17,92626441.0,16.89,18.77,18.77,16.81,255701791.0,19.63,18.7,19.63,17.83,269834165.0
28,28,002750,龙津药业,441887648,4597740000.0,10.027332305908203,110827,20231031,10.19,10.44,10.55,10.15,147118245.0,10.4,11.48,11.48,10.2,441887644.3,11.73,11.15,11.93,11.1,577087644.44
29,29,600200,江苏吴中,1081727200,7094366966.400001,15.983617782592773,111110,20231031,9.26,9.05,9.81,8.88,1263987948.0,8.95,9.96,9.96,8.81,1081727202.0,10.66,10.31,10.96,10.16,2102045397.0
30,30,002889,东方嘉盛,612962000,5518661720.0,17.61448860168457,111315,20231031,23.64,26.0,26.0,23.21,409682651.13,27.0,28.6,28.6,26.2,612961992.19,30.99,31.46,31.46,29.5,560844212.6
31,31,600641,万业企业,795412640,16844401552.000002,4.881165504455566,131004,20231031,15.94,16.45,16.64,15.86,315113277.0,16.56,18.1,18.1,16.56,795412638.0,17.64,17.26,17.72,17.1,711192008.0
32,32,600619,海立股份,616041696,8135428354.08,10.674243927001953,131306,20231031,6.81,6.83,6.98,6.68,263410011.0,6.77,7.51,7.51,6.71,616041697.0,7.29,7.22,7.35,7.14,469593899.0
